id,local_authority,code,hectares,geometry
pub_las.1,Angus,S12000041,220244.68,"list(c(316464.9985, 321852.9975, 321934.5, 331836.9998, 333558.5026, 337705.0015, 342088.4965, 345865.996, 349453.9992, 349959.9986, 353573.0009, 359746.4986, 359191.3009, 362445.8986, 367703.54, 371831.3012, 374505.1283, 373214.95, 369543.41, 370630.95, 367075.51, 356394.2073, 354814.8695, 350286.67, 349217.5, 348478.6992, 341794.2962, 340400.1965, 336589.1974, 335363.297, 332465.9, 332974.7028, 331116.299, 325531.3996, 327936.7973, 326947.7033, 333311.8021, 328514.6029, 329328.7038, 326998.6, 329509.0974, 
321371.6014, 320081.4967, 317317.9996, 315150.4967, 317595.0006, 314267.5001, 316464.9985, 776753.4961, 780284.4954, 782653.4973, 778013.4955, 784859.9957, 787310.0044, 786581.5029, 788757.5, 787621.4952, 785937.4972, 785654.9981, 777695.9964, 772515.5992, 765936.4025, 766094.66, 761867.4972, 762619.3889, 755116.95, 752008.5, 747823.8, 741732.29, 734120.2923, 730392.3519, 731894.58, 730856.4, 733693.5019, 735060.0008, 733993.3961, 734965.2979, 732765.5975, 732445.5991, 731066.6039, 731178.002, 737576.1005, 
737746.6017, 741671.8981, 747343.4047, 745831.6974, 747485.3041, 748423.9954, 751856.8027, 753399.3012, 757541.9954, 760205.5029, 765045.9974, 770680.5045, 773322.9981, 776753.4961))"
pub_las.2,Clackmannanshire,S12000005,16391.19,"list(c(291801.1732, 288089.596, 285765.1978, 285909.7997, 283710.5039, 282926.2996, 284680.2962, 283437.8974, 284913.3016, 285744.5027, 289656.001, 292308.9978, 296644.4983, 299716.303, 302359.3975, 301184.501, 297751.3977, 298886.3963, 296655.0025, 298806.3038, 293452.3981, 291801.1732, 688448.1308, 692086.3018, 691619.4955, 693139.3004, 692250.9047, 694531.5019, 695479.2006, 696841.0008, 697127.0989, 701313.0007, 704167.0038, 700961.5013, 700807.4954, 702625.2951, 701503.6961, 698968.4019, 697557.0958, 
694361.7005, 693498.2977, 692049.6024, 691516.405, 688448.1308))"
pub_las.3,Dundee City,S12000042,6241.03,"list(c(332974.7028, 332465.9, 335363.297, 336589.1974, 340400.1965, 341794.2962, 348478.6992, 348825.3362, 336281.1871, 332974.7028, 731066.6039, 732445.5991, 732765.5975, 734965.2979, 733993.3961, 735060.0008, 733693.5019, 731012.7806, 728522.5572, 731066.6039))"
pub_las.4,East Ayrshire,S12000008,127034.56,"list(c(241287.6032, 243648.5023, 245801.4021, 245091.06, 246953.93, 249282.47, 250331.1816, 253941.4964, 258813.5016, 261201.43, 263075.91, 258660.4994, 259752.5, 264682.5024, 268835.4985, 271564.0035, 276649.4993, 272115, 274517.4999, 272510.5036, 273399, 267729.96, 266530.68, 267850.9963, 265732.9974, 263859.0022, 260309.2973, 254036.9989, 250102.497, 246553.5012, 244616.9012, 242470.5, 245705.7027, 243952.29, 245351.34, 237516.69, 239954.27, 235183.13, 237775.18, 241660.99, 244734.46, 244794.97, 
242361.8, 243567.0995, 242474.75, 248614.8984, 246511.3029, 241296.6975, 240278.4985, 236660.7965, 239183.3977, 243309.4984, 239929.9962, 236869.7016, 234146.4981, 241287.6032, 653032.3009, 654952.7012, 653570.1983, 651552.44, 651767.53, 649298.49, 650305.5593, 646317.503, 645129.2755, 637902.98, 636727.91, 632111.9993, 630779.5007, 633101.9959, 632401.4964, 635081.4993, 630856.9989, 623938, 620706.0042, 618877.4976, 617687, 615115.92, 610356.41, 608340.5033, 602649.003, 600944.001, 604894.7002, 
604230.5003, 598518.9952, 586785.004, 585328.8008, 592226, 598228.4983, 601767.56, 604233.8, 610045.79, 613796.93, 613917.95, 617704.13, 614535.57, 615560.47, 617955.38, 618888.05, 619945.201, 622418.8, 626789.8028, 633103.0956, 633068.5955, 636037.2957, 637169.1017, 642221.3955, 644101.7973, 644440.6003, 642007.9966, 644876.7954, 653032.3009))"
pub_las.5,East Dunbartonshire,S12000045,17448.94,"list(c(250190.7027, 252448.5962, 254313.7032, 257354.2014, 258194.0021, 256986.0017, 263054.6965, 265327.0023, 268253.3971, 267537.9979, 271347.9005, 272288.596, 270726.2971, 271502.2975, 262933.6013, 263650.4021, 260905.9016, 258371.8975, 256521.2029, 256933.7033, 254549.8995, 251267.9034, 250190.7027, 678031.7049, 678909.9035, 676507.5012, 676224.0024, 680143.5004, 683796.5048, 681868.6966, 684043.5041, 678015.9994, 675376.1951, 676944.1962, 675140.8024, 674257.7952, 671961.9024, 671067.6984, 669914.2985, 
669235.6028, 672927.9958, 673064.1969, 671115.1048, 669846.5979, 672516.6036, 678031.7049))"
pub_las.6,East Renfrewshire,S12000011,17424.73,"list(c(240058.354, 243697.402, 250907.8004, 251385.5027, 258425.75, 259088.5995, 256898.4969, 260429.6999, 260448.0039, 258204.5, 253963.5025, 250331.1816, 249282.47, 246953.93, 245091.06, 245744.1989, 242994.8009, 241223.3, 240058.354, 655507.0942, 659280.6013, 661444.303, 658266.2027, 659840.6, 656113.4989, 655133.4995, 650663.599, 646467.0002, 644786, 646304.9966, 650305.5593, 649298.49, 651767.53, 651552.44, 653635.8981, 655109.9962, 653031.901, 655507.0942))"
pub_las.7,Falkirk,S12000014,31493.22,"list(c(288600.897, 292486.39, 292126.27, 306485.9505, 304242.5035, 300305.899, 295950.8, 291446.05, 289567.28, 286190.18, 286990.4964, 281175.73, 283953.5658, 279112.4972, 278710.5999, 276078.6032, 276115.302, 273507.9993, 277184.2, 287104.5008, 288139.8991, 285852.0019, 287855.4033, 288600.897, 691308.0046, 686805.91, 685021.41, 680192.1228, 678038.303, 679365.5031, 673744.7021, 672482.2, 669719.35, 668421.67, 669451.601, 673292.03, 675588.3479, 676130.7991, 678316.1035, 678667.103, 681213.1043, 
681505.5006, 685730.0013, 685923.296, 687370.3018, 689502.7014, 692076.3047, 691308.0046))"
pub_las.8,Glasgow City,S12000049,17635.76,"list(c(258096.7021, 260258.4994, 263784.3019, 264712.3001, 269871.3997, 270434.1004, 267845.3985, 263940.2985, 262156.8011, 260606.8038, 260140.6033, 261921.9982, 260448.6965, 258078.2992, 258425.75, 254308.7974, 253798.6012, 251027.9969, 251068.8017, 252851.7961, 250424.4996, 250851.198, 252791.904, 254549.8995, 256933.7033, 256521.2029, 258096.7021, 672970.5037, 669340.4028, 670126.7977, 667721.996, 667627.3032, 665061.5976, 661197.5037, 661002.7994, 663408.8007, 663089.2022, 660636.1044, 658550.7013, 
656462.599, 657170.0965, 659840.6, 659690.9049, 657973.5965, 658850.3955, 665136.3962, 667013.2989, 668812.9038, 671829.3003, 672244.2016, 669846.5979, 671115.1048, 673064.1969, 672970.5037))"
pub_las.9,Inverclyde,S12000018,17361.5,"list(c(236691.4022, 235407.2999, 237550.1995, 235950.7978, 235249.9017, 227892.96, 225022.9999, 219259.9804, 220334.76, 225618.7996, 231710.9978, 232384.9, 236691.4022, 674686.2026, 672097.4036, 666297.4038, 666268.3022, 664012.098, 665242.24, 670152.5003, 668390.7682, 675964.9, 678991.8988, 676593.4966, 674653.45, 674686.2026))"
pub_las.10,Midlothian,S12000019,35527.2,"list(c(347072.9987, 345565.9994, 341849.0022, 340470.1971, 332620.9979, 330816.5003, 331511.9959, 329205.0031, 325808.4997, 320158.2994, 318948.6006, 315758.504, 314327.4994, 324957.0982, 331774.1971, 330235.3966, 331861.2979, 336462.3966, 339656.6982, 341443.5018, 344107.0029, 347072.9987, 658736.0982, 659326.3993, 655931.0012, 658820.904, 652347.4969, 649855.5003, 648175.5012, 646900.4961, 657131.0977, 654293.3, 656648.4958, 656338.6045, 659833.0042, 667507.8973, 667949.301, 669493.199, 671534.3048, 
668081.7031, 669173.0007, 663765.3986, 663266.2015, 658736.0982))"
